Epoch: 1 - train loss: 3.31e-02 - valid loss: 1.87e-02, valid stoi: 9.74e-01
Epoch: 2 - train loss: 1.60e-02 - valid loss: 1.84e-02, valid stoi: 9.75e-01
Epoch: 3 - train loss: 1.54e-02 - valid loss: 1.76e-02, valid stoi: 9.78e-01
Epoch: 4 - train loss: 1.52e-02 - valid loss: 1.73e-02, valid stoi: 9.79e-01
Epoch: 5 - train loss: 1.50e-02 - valid loss: 1.73e-02, valid stoi: 9.79e-01
Epoch: 6 - train loss: 1.50e-02 - valid loss: 1.73e-02, valid stoi: 9.79e-01
Epoch: 7 - train loss: 1.49e-02 - valid loss: 1.72e-02, valid stoi: 9.79e-01
Epoch: 8 - train loss: 1.49e-02 - valid loss: 1.72e-02, valid stoi: 9.79e-01
Epoch: 9 - train loss: 1.48e-02 - valid loss: 1.72e-02, valid stoi: 9.79e-01
Epoch: 10 - train loss: 1.45e-02 - valid loss: 1.67e-02, valid stoi: 9.81e-01
Epoch: 11 - train loss: 1.42e-02 - valid loss: 1.61e-02, valid stoi: 9.82e-01
Epoch: 12 - train loss: 1.26e-02 - valid loss: 1.32e-02, valid stoi: 9.87e-01
Epoch: 13 - train loss: 1.11e-02 - valid loss: 1.28e-02, valid stoi: 9.87e-01
Epoch: 14 - train loss: 1.08e-02 - valid loss: 1.28e-02, valid stoi: 9.87e-01
Epoch: 15 - train loss: 1.08e-02 - valid loss: 1.26e-02, valid stoi: 9.88e-01
Epoch: 16 - train loss: 1.06e-02 - valid loss: 1.26e-02, valid stoi: 9.88e-01
Epoch: 17 - train loss: 1.06e-02 - valid loss: 1.26e-02, valid stoi: 9.88e-01
Epoch: 18 - train loss: 1.06e-02 - valid loss: 1.26e-02, valid stoi: 9.88e-01
Epoch: 19 - train loss: 1.05e-02 - valid loss: 1.24e-02, valid stoi: 9.88e-01
Epoch: 20 - train loss: 1.04e-02 - valid loss: 1.24e-02, valid stoi: 9.88e-01
Epoch: 21 - train loss: 1.04e-02 - valid loss: 1.24e-02, valid stoi: 9.88e-01
Epoch: 22 - train loss: 1.04e-02 - valid loss: 1.24e-02, valid stoi: 9.88e-01
Epoch: 23 - train loss: 1.04e-02 - valid loss: 1.24e-02, valid stoi: 9.88e-01
Epoch: 24 - train loss: 1.03e-02 - valid loss: 1.24e-02, valid stoi: 9.88e-01
Epoch: 25 - train loss: 1.03e-02 - valid loss: 1.23e-02, valid stoi: 9.88e-01
Epoch: 26 - train loss: 1.03e-02 - valid loss: 1.23e-02, valid stoi: 9.88e-01
Epoch: 27 - train loss: 9.42e-03 - valid loss: 7.87e-03, valid stoi: 9.91e-01
Epoch: 28 - train loss: 7.15e-03 - valid loss: 7.76e-03, valid stoi: 9.92e-01
Epoch: 29 - train loss: 7.12e-03 - valid loss: 7.74e-03, valid stoi: 9.92e-01
Epoch: 30 - train loss: 7.10e-03 - valid loss: 7.74e-03, valid stoi: 9.92e-01
Epoch: 31 - train loss: 7.09e-03 - valid loss: 7.73e-03, valid stoi: 9.92e-01
Epoch: 32 - train loss: 7.08e-03 - valid loss: 7.72e-03, valid stoi: 9.92e-01
Epoch: 33 - train loss: 7.07e-03 - valid loss: 7.71e-03, valid stoi: 9.92e-01
Epoch: 34 - train loss: 7.06e-03 - valid loss: 7.70e-03, valid stoi: 9.92e-01
Epoch: 35 - train loss: 7.04e-03 - valid loss: 7.18e-03, valid stoi: 9.94e-01
Epoch: 36 - train loss: 6.66e-03 - valid loss: 7.16e-03, valid stoi: 9.94e-01
Epoch: 37 - train loss: 6.65e-03 - valid loss: 7.16e-03, valid stoi: 9.94e-01
Epoch: 38 - train loss: 6.64e-03 - valid loss: 7.15e-03, valid stoi: 9.94e-01
Epoch: 39 - train loss: 6.63e-03 - valid loss: 7.14e-03, valid stoi: 9.94e-01
Epoch: 40 - train loss: 6.62e-03 - valid loss: 7.13e-03, valid stoi: 9.94e-01
Epoch: 41 - train loss: 6.35e-03 - valid loss: 6.69e-03, valid stoi: 9.95e-01
Epoch: 42 - train loss: 6.09e-03 - valid loss: 6.68e-03, valid stoi: 9.95e-01
Epoch: 43 - train loss: 6.09e-03 - valid loss: 6.67e-03, valid stoi: 9.95e-01
Epoch: 44 - train loss: 6.08e-03 - valid loss: 6.67e-03, valid stoi: 9.95e-01
Epoch: 45 - train loss: 6.07e-03 - valid loss: 6.66e-03, valid stoi: 9.95e-01
Epoch: 46 - train loss: 6.06e-03 - valid loss: 6.65e-03, valid stoi: 9.95e-01
Epoch: 47 - train loss: 6.05e-03 - valid loss: 6.65e-03, valid stoi: 9.95e-01
Epoch: 48 - train loss: 6.04e-03 - valid loss: 6.64e-03, valid stoi: 9.95e-01
Epoch: 49 - train loss: 6.03e-03 - valid loss: 6.64e-03, valid stoi: 9.95e-01
Epoch: 50 - train loss: 6.02e-03 - valid loss: 6.63e-03, valid stoi: 9.95e-01
Epoch loaded: 50 - test loss: 7.58e-03, test stoi: 9.95e-01
Epoch loaded: 50 - test loss: 7.58e-03, test stoi: 9.95e-01
