Epoch: 1 - train loss: 3.32e-02 - valid loss: 1.72e-02, valid stoi: 9.74e-01
Epoch: 2 - train loss: 1.47e-02 - valid loss: 1.70e-02, valid stoi: 9.74e-01
Epoch: 3 - train loss: 1.44e-02 - valid loss: 1.68e-02, valid stoi: 9.74e-01
Epoch: 4 - train loss: 1.43e-02 - valid loss: 1.67e-02, valid stoi: 9.74e-01
Epoch: 5 - train loss: 1.41e-02 - valid loss: 1.66e-02, valid stoi: 9.74e-01
Epoch: 6 - train loss: 1.40e-02 - valid loss: 1.65e-02, valid stoi: 9.74e-01
Epoch: 7 - train loss: 1.35e-02 - valid loss: 1.60e-02, valid stoi: 9.75e-01
Epoch: 8 - train loss: 1.33e-02 - valid loss: 1.58e-02, valid stoi: 9.75e-01
Epoch: 9 - train loss: 1.32e-02 - valid loss: 1.57e-02, valid stoi: 9.75e-01
Epoch: 10 - train loss: 1.28e-02 - valid loss: 1.44e-02, valid stoi: 9.77e-01
Epoch: 11 - train loss: 1.12e-02 - valid loss: 1.13e-02, valid stoi: 9.80e-01
Epoch: 12 - train loss: 9.40e-03 - valid loss: 9.89e-03, valid stoi: 9.86e-01
Epoch: 13 - train loss: 9.03e-03 - valid loss: 9.83e-03, valid stoi: 9.86e-01
Epoch: 14 - train loss: 8.98e-03 - valid loss: 9.79e-03, valid stoi: 9.86e-01
Epoch: 15 - train loss: 8.94e-03 - valid loss: 9.74e-03, valid stoi: 9.86e-01
Epoch: 16 - train loss: 8.76e-03 - valid loss: 9.56e-03, valid stoi: 9.86e-01
Epoch: 17 - train loss: 8.67e-03 - valid loss: 9.53e-03, valid stoi: 9.86e-01
Epoch: 18 - train loss: 8.53e-03 - valid loss: 9.07e-03, valid stoi: 9.88e-01
Epoch: 19 - train loss: 8.25e-03 - valid loss: 9.04e-03, valid stoi: 9.88e-01
Epoch: 20 - train loss: 8.22e-03 - valid loss: 9.02e-03, valid stoi: 9.88e-01
Epoch: 21 - train loss: 8.19e-03 - valid loss: 8.99e-03, valid stoi: 9.88e-01
Epoch: 22 - train loss: 8.17e-03 - valid loss: 8.97e-03, valid stoi: 9.88e-01
Epoch: 23 - train loss: 8.15e-03 - valid loss: 8.95e-03, valid stoi: 9.88e-01
Epoch: 24 - train loss: 8.13e-03 - valid loss: 8.93e-03, valid stoi: 9.89e-01
Epoch: 25 - train loss: 7.44e-03 - valid loss: 7.89e-03, valid stoi: 9.90e-01
Epoch: 26 - train loss: 7.23e-03 - valid loss: 7.87e-03, valid stoi: 9.90e-01
Epoch: 27 - train loss: 7.21e-03 - valid loss: 7.86e-03, valid stoi: 9.90e-01
Epoch: 28 - train loss: 7.19e-03 - valid loss: 7.84e-03, valid stoi: 9.90e-01
Epoch: 29 - train loss: 7.17e-03 - valid loss: 7.83e-03, valid stoi: 9.90e-01
Epoch: 30 - train loss: 7.15e-03 - valid loss: 7.82e-03, valid stoi: 9.90e-01
Epoch: 31 - train loss: 7.14e-03 - valid loss: 7.82e-03, valid stoi: 9.90e-01
Epoch: 32 - train loss: 7.12e-03 - valid loss: 7.81e-03, valid stoi: 9.90e-01
Epoch: 33 - train loss: 7.10e-03 - valid loss: 7.79e-03, valid stoi: 9.90e-01
Epoch: 34 - train loss: 7.08e-03 - valid loss: 7.78e-03, valid stoi: 9.90e-01
Epoch: 35 - train loss: 6.95e-03 - valid loss: 6.89e-03, valid stoi: 9.92e-01
Epoch: 36 - train loss: 6.35e-03 - valid loss: 6.86e-03, valid stoi: 9.92e-01
Epoch: 37 - train loss: 6.32e-03 - valid loss: 6.84e-03, valid stoi: 9.92e-01
Epoch: 38 - train loss: 6.30e-03 - valid loss: 6.84e-03, valid stoi: 9.92e-01
Epoch: 39 - train loss: 6.29e-03 - valid loss: 6.83e-03, valid stoi: 9.92e-01
Epoch: 40 - train loss: 6.27e-03 - valid loss: 6.82e-03, valid stoi: 9.92e-01
Epoch: 41 - train loss: 6.25e-03 - valid loss: 6.82e-03, valid stoi: 9.92e-01
Epoch: 42 - train loss: 6.24e-03 - valid loss: 6.81e-03, valid stoi: 9.92e-01
Epoch: 43 - train loss: 6.22e-03 - valid loss: 6.81e-03, valid stoi: 9.92e-01
Epoch: 44 - train loss: 6.21e-03 - valid loss: 6.80e-03, valid stoi: 9.92e-01
Epoch: 45 - train loss: 6.13e-03 - valid loss: 6.52e-03, valid stoi: 9.93e-01
Epoch: 46 - train loss: 5.59e-03 - valid loss: 5.92e-03, valid stoi: 9.94e-01
Epoch: 47 - train loss: 5.32e-03 - valid loss: 5.91e-03, valid stoi: 9.94e-01
Epoch: 48 - train loss: 5.31e-03 - valid loss: 5.90e-03, valid stoi: 9.94e-01
Epoch: 49 - train loss: 5.29e-03 - valid loss: 5.89e-03, valid stoi: 9.94e-01
Epoch: 50 - train loss: 5.28e-03 - valid loss: 5.89e-03, valid stoi: 9.94e-01
Epoch loaded: 50 - test loss: 6.88e-03, test stoi: 9.93e-01
Epoch loaded: 50 - test loss: 6.88e-03, test stoi: 9.93e-01
